onset1	nucleus1	onset2	nucleus2	coda	shape	jamo	hangul	romanization	transcription
k	wa			t̚	CwVC	ㄱㅘᆮ	괃	gwat	kwat̚
n	u	k	i	t̚	CVCVC	ᄂㅜㄱㅣᆮ	누긷	nugit	nukit̚
pʰ	a	k	i	t̚	CVCVC	ㅍㅏㄱㅣᆮ	파긷	pagit	pʰakit̚
cʰ	wi	pʰ	i	m	CwVCVC	ㅊㅟㅍㅣᆷ	취핌	chwipim	cʰwipʰim
kʰm	i	p	a	ŋ	CNVCVC	ㅋᄆㅣㅂㅏᆼ			kʰmipaŋ
tʰ	a	p	i	k̚	CVCVC	ㅌㅏㅂㅣᆨ	타빅	tabik	tʰapik̚
kʰn	i	pʰ	o	n	CNVCVC	ㅋᄂㅣㅍㅗᆫ			kʰnipʰon
k	wa	m	o	p̚	CwVCVC	ㄱㅘᄆㅗᆸ	과몹	gwamop	kwamop̚
k	u	cʰ	o	k̚	CVCVC	ㄱㅜㅊㅗᆨ	구촉	guchok	kucʰok̚
mcʰ	a	s	u	t̚	NCVCVC	ᄆㅊㅏᄉㅜᆮ			mcʰasut̚
npʰ	a	kʰ	i	n	NCVCVC	ᄂㅍㅏㅋㅣᆫ			npʰakʰin
cʰ	wa			p̚	CwVC	ㅊㅘᆸ	촵	chwap	cʰwap̚
tʰ	u			m	CVC	ㅌㅜᆷ	툼	tum	tʰum
kn	o	n	u	p̚	CNVCVC	ㄱᄂㅗᄂㅜᆸ			knonup̚
mk	i	s	a	p̚	NCVCVC	ᄆㄱㅣᄉㅏᆸ			mkisap̚
kʰm	i			p̚	CNVC	ㅋᄆㅣᆸ			kʰmip̚
pm	a	s	i	ŋ	CNVCVC	ㅂᄆㅏᄉㅣᆼ			pmasiŋ
p	u	cʰ	i	k̚	CVCVC	ㅂㅜㅊㅣᆨ	부칙	buchik	pucʰik̚
